"ID_CLIENTE","CIF_EMPRESA","NOMBRE","DESCRIPCION","LOCALIZACION","TELEFONO","EMAIL"
"CLI-00001","TOYOTA-ESP","Cliente 1 de Toyota España","Cliente++corporativo","Madrid, España","+34 911234111","cliente1++@toyotaesp.com"
"CLI-00002","TOYOTA-ESP","Cliente 2 de Toyota España","Cliente corporativo","Barcelona, España","+34 933456222","cliente2@toyotaesp.com"
"CLI-00003","GOOGLE-IND","Cliente 1 de Google India","Cliente corporativo","Mumbai, India  ","+91:2267218222","cliente1@googleind.com"
"CLI-00004","MSFT-EUR","Cliente 1 de Microsoft Europa","Cliente corporativo","Londres, Reino Unido","+44 2079461111","cliente1@msfteur.com"
"CLI-00005","APPLE-CHN","Cliente 1 de Apple China","Cliente corporativo","Beijing, China","+86 1082384511","cliente1@applechn.com"
"CLI-00006","SAMSUNG-UK","Cliente 1 de Samsung UK","Cliente corporativo","Londres, Reino Unido      ","+44_2074941111","cliente1@samsunguk.com"
"CLI-00007","AMZN-CAN3","Cliente 1 de Amazon Canadá","Cliente corporativo","Toronto, Canadá","+1 8002025556","cliente1@amzncan.com"
"CLI-00008","IBM-AUS","Cliente 1 de IBM Australia","Cliente corporativo","Sydney, Australia","+61 293820111","cliente1@ibmaus.com"
"CLI-00009","HUAWEI-EUR","Cliente 1 de Huawei Europa","Cliente corporativo","París, Francia","+33 142468111","cliente1@huaweieur.com"
"CLI-00010","TOYOTA-US3A","Cliente 1 de Toyota USA","Cliente corporativo","Nueva York, USA","+1 800123457","cliente1@toyotausa.com"
